date,model_weight,weight_percent,bitcoin_price
2022-12-23,0.0018047808545967636,0.036095617091935275,16780.5169798363
2022-12-24,0.0018047808545967636,0.036095617091935275,16837.612170076
2022-12-25,0.0018047808545967636,0.036095617091935275,16824.8389736996
2022-12-26,0.0018047808545967636,0.036095617091935275,16879.9382273524
2022-12-27,0.0018047808545967636,0.036095617091935275,16698.9112708942
2022-12-28,0.0018047808545967636,0.036095617091935275,16536.2942001753
2022-12-29,0.0018047808545967636,0.036095617091935275,16630.5931551724
2022-12-30,0.0018047808545967636,0.036095617091935275,16593.6888287551
2022-12-31,0.0018047808545967636,0.036095617091935275,16524.2178024547
2023-01-01,0.0027397260273972603,0.0547945205479452,16606.7520432496
2023-01-02,0.0027397260273972603,0.0547945205479452,16688.7192729398
2023-01-03,0.0027397260273972603,0.0547945205479452,16670.0773836937
2023-01-04,0.0027397260273972603,0.0547945205479452,16848.3660391584
2023-01-05,0.0027397260273972603,0.0547945205479452,16824.8001826417
2023-01-06,0.0027397260273972603,0.0547945205479452,16957.8622738165
2023-01-07,0.0027397260273972603,0.0547945205479452,16942.6285891292
2023-01-08,0.0027397260273972603,0.0547945205479452,17059.2399444769
2023-01-09,0.0027397260273972603,0.0547945205479452,17182.3198521333
2023-01-10,0.0027397260273972603,0.0547945205479452,17433.9146320865
2023-01-11,0.0027397260273972603,0.0547945205479452,17833.7107656341
2023-01-12,0.0027397260273972603,0.0547945205479452,18869.7044842198
2023-01-13,0.0027397260273972603,0.0547945205479452,19868.7247454705
2023-01-14,0.0027397260273972603,0.0547945205479452,21010.9227200468
2023-01-15,0.0027397260273972603,0.0547945205479452,20876.0085561075
2023-01-16,0.0027397260273972603,0.0547945205479452,21180.4119485681
2023-01-17,0.0027397260273972603,0.0547945205479452,21178.2993962595
2023-01-18,0.0027397260273972603,0.0547945205479452,20709.6686040327
2023-01-19,0.0027397260273972603,0.0547945205479452,21071.8334152542
2023-01-20,0.0027397260273972603,0.0547945205479452,22660.7169421391
2023-01-21,0.0027397260273972603,0.0547945205479452,22803.172761543
2023-01-22,0.0027397260273972603,0.0547945205479452,22716.2771966686
2023-01-23,0.0027397260273972603,0.0547945205479452,22929.0248936295
2023-01-24,0.0027397260273972603,0.0547945205479452,22611.1268787259
2023-01-25,0.0027397260273972603,0.0547945205479452,23109.0845189947
2023-01-26,0.0027397260273972603,0.0547945205479452,23008.6894766219
2023-01-27,0.0027397260273972603,0.0547945205479452,23070.4964582116
2023-01-28,0.0027397260273972603,0.0547945205479452,23008.8094649328
2023-01-29,0.0027397260273972603,0.0547945205479452,23774.9963679135
2023-01-30,0.0027397260273972603,0.0547945205479452,22799.427261543
2023-01-31,0.0027397260273972603,0.0547945205479452,23130.0519132087
2023-02-01,0.0027397260273972603,0.0547945205479452,23727.2026075395
2023-02-02,0.0027397260273972603,0.0547945205479452,23505.6048430742
2023-02-03,0.0027397260273972603,0.0547945205479452,23445.8131773816
2023-02-04,0.0027397260273972603,0.0547945205479452,23355.5243863238
2023-02-05,0.0027397260273972603,0.0547945205479452,22957.2251905319
2023-02-06,0.0027397260273972603,0.0547945205479452,22745.1650371128
2023-02-07,0.0027397260273972603,0.0547945205479452,23266.2692036821
2023-02-08,0.0027397260273972603,0.0547945205479452,22937.5799453536
2023-02-09,0.0027397260273972603,0.0547945205479452,21818.1989456458
2023-02-10,0.0027397260273972603,0.0547945205479452,21620.5667837522
2023-02-11,0.0027397260273972603,0.0547945205479452,21864.8626414378
2023-02-12,0.0027397260273972603,0.0547945205479452,21772.1373252484
2023-02-13,0.0027397260273972603,0.0547945205479452,21798.7157168323
2023-02-14,0.0027397260273972603,0.0547945205479452,22222.415043834
2023-02-15,0.0027397260273972603,0.0547945205479452,24304.6129827586
2023-02-16,0.0027397260273972603,0.0547945205479452,23742.4488354763
2023-02-17,0.0027397260273972603,0.0547945205479452,24607.3356054939
2023-02-18,0.0027397260273972603,0.0547945205479452,24636.5266127995
